Date,BTC_open,BTC_high,BTC_low,BTC_close,BTC_volume,ETH_open,ETH_high,ETH_low,ETH_close,ETH_volume,LTC_open,LTC_high,LTC_low,LTC_close,LTC_volume,Gold_open,Gold_high,Gold_low,Gold_close,Gold_volume
2020-08-28,11330.38,11542.65,11276.89,11526.91,45953.908365,383.31,398.0,379.75,395.11,732601.46905,56.12,58.28,55.33,57.38,644522.18905,1945.95,2049.69,1945.95,1977.99,105.408271
2020-08-29,11526.9,11580.02,11417.04,11465.84,32973.7992,395.1,405.69,391.88,398.65,659802.63344,57.36,58.18,56.93,56.97,408492.18575,1966.91,1989.91,1940.01,1964.34,191.835869
2020-08-30,11465.84,11719.0,11458.0,11711.16,43177.879054,398.65,429.89,398.3,428.94,894979.71788,56.95,62.95,56.93,62.89,839317.10194,1972.16,1985.0,1946.75,1982.1,260.89203
2020-08-31,11711.17,11800.77,11570.0,11649.51,55353.617744,428.94,439.0,418.04,433.79,1040748.68881,62.89,63.7,60.51,60.92,680146.78621,1982.1,1983.65,1964.39,1971.48,131.651537
2020-09-01,11649.51,12050.85,11515.0,11921.97,78148.193668,433.8,488.84,429.03,475.4,1751354.57719,60.94,64.31,59.69,62.69,972744.47944,1971.48,2007.5,1967.31,1981.25,200.684098
2020-09-02,11921.97,11954.57,11160.1,11388.54,87221.845602,475.4,481.39,420.0,439.5,1880642.46853,62.68,63.19,56.32,58.06,934006.30005,1982.84,1988.75,1929.06,1957.64,215.219811
2020-09-03,11388.54,11462.6,9960.8,10140.85,121950.106015,439.5,450.7,372.0,381.4,2408569.34151,58.07,58.62,45.33,47.28,1324245.74096,1952.0,1964.87,1915.5,1925.0,204.661268
2020-09-04,10138.29,10627.05,9875.5,10446.25,92733.599113,381.35,400.21,357.0,385.26,1806488.22474,47.28,52.38,46.24,50.32,1476516.48212,1931.25,1971.32,1900.91,1930.13,360.981486
2020-09-05,10446.25,10565.68,9825.0,10166.69,90001.605568,385.3,395.0,308.42,335.01,2777166.51389,50.33,51.32,45.21,47.83,1350657.16967,1937.5,1965.0,1910.0,1938.0,188.163322
2020-09-06,10166.69,10347.14,9994.86,10256.2,56368.788815,335.04,360.0,316.1,352.8,2017811.14721,47.82,49.25,46.28,47.92,653592.78694,1938.0,1962.0,1922.19,1933.0,167.596215
2020-09-07,10255.89,10410.75,9875.0,10373.44,62620.230676,352.85,358.51,323.0,353.59,1740618.42462,47.93,49.18,45.22,48.84,826692.56519,1935.97,1942.21,1916.11,1939.45,149.704231
2020-09-08,10373.45,10438.0,9850.0,10126.65,73491.878418,353.59,356.58,325.38,337.39,1400246.82962,48.85,49.35,45.98,47.47,760182.50564,1936.98,1948.35,1902.96,1934.92,86.719099
2020-09-09,10126.66,10343.0,9981.01,10219.2,49347.113776,337.41,359.0,330.51,350.85,879760.56255,47.47,48.81,46.52,47.82,378772.50759,1941.4,1958.59,1928.53,1954.08,60.04159
2020-09-10,10219.29,10483.35,10070.83,10336.87,58253.75375,350.85,377.25,349.91,367.93,1134287.61137,47.82,49.45,47.77,48.67,474471.86038,1954.08,1967.99,1939.01,1955.49,76.395335
2020-09-11,10336.86,10397.6,10200.0,10387.89,43830.254467,367.93,375.27,355.49,373.63,844017.59966,48.65,49.59,47.37,48.96,367092.22089,1953.53,1958.0,1936.72,1947.69,47.475614
2020-09-12,10387.89,10477.97,10269.25,10440.92,35379.153096,373.62,388.57,364.73,387.78,766542.31635,48.95,51.31,48.38,50.8,451949.52403,1945.87,1958.0,1943.15,1950.0,99.840449
